Identity  : 	id00022
Reference : 	ds44qg0crCw
Offset    : 	-1
FV Conf   : 	15.243	(1)
ASD Conf  : 	4.942

FRAME 	X 	Y 	W 	H 
001486 	0.382 	0.162 	0.276 	0.491 
001487 	0.385 	0.162 	0.276 	0.491 
001488 	0.387 	0.162 	0.277 	0.493 
001489 	0.387 	0.165 	0.277 	0.493 
001490 	0.387 	0.170 	0.277 	0.493 
001491 	0.387 	0.172 	0.277 	0.493 
001492 	0.387 	0.174 	0.277 	0.493 
001493 	0.387 	0.174 	0.277 	0.493 
001494 	0.386 	0.173 	0.278 	0.495 
001495 	0.386 	0.173 	0.278 	0.495 
001496 	0.380 	0.173 	0.278 	0.495 
001497 	0.374 	0.173 	0.278 	0.495 
001498 	0.371 	0.173 	0.278 	0.495 
001499 	0.370 	0.172 	0.279 	0.496 
001500 	0.369 	0.171 	0.280 	0.498 
001501 	0.366 	0.167 	0.285 	0.507 
001502 	0.365 	0.167 	0.285 	0.507 
001503 	0.364 	0.168 	0.284 	0.505 
001504 	0.366 	0.170 	0.280 	0.498 
001505 	0.366 	0.170 	0.280 	0.498 
001506 	0.365 	0.169 	0.280 	0.498 
001507 	0.365 	0.166 	0.280 	0.498 
001508 	0.365 	0.161 	0.280 	0.498 
001509 	0.362 	0.160 	0.280 	0.498 
001510 	0.360 	0.158 	0.280 	0.498 
001511 	0.360 	0.158 	0.280 	0.498 
001512 	0.359 	0.159 	0.278 	0.494 
001513 	0.358 	0.161 	0.275 	0.489 
001514 	0.357 	0.161 	0.275 	0.489 
001515 	0.356 	0.161 	0.275 	0.489 
001516 	0.354 	0.161 	0.275 	0.489 
001517 	0.353 	0.161 	0.275 	0.489 
001518 	0.350 	0.162 	0.274 	0.488 
001519 	0.347 	0.162 	0.274 	0.486 
001520 	0.345 	0.162 	0.274 	0.486 
001521 	0.344 	0.163 	0.272 	0.484 
001522 	0.344 	0.163 	0.272 	0.484 
001523 	0.341 	0.163 	0.272 	0.484 
001524 	0.338 	0.162 	0.275 	0.489 
001525 	0.335 	0.160 	0.278 	0.494 
001526 	0.335 	0.160 	0.278 	0.494 
001527 	0.333 	0.160 	0.279 	0.496 
001528 	0.331 	0.160 	0.279 	0.496 
001529 	0.330 	0.160 	0.279 	0.496 
001530 	0.327 	0.160 	0.280 	0.498 
001531 	0.327 	0.160 	0.280 	0.498 
001532 	0.327 	0.161 	0.280 	0.498 
001533 	0.327 	0.164 	0.280 	0.498 
001534 	0.327 	0.167 	0.280 	0.498 
001535 	0.326 	0.166 	0.281 	0.499 
001536 	0.326 	0.166 	0.281 	0.499 
001537 	0.325 	0.166 	0.281 	0.499 
001538 	0.325 	0.166 	0.281 	0.499 
001539 	0.326 	0.167 	0.280 	0.498 
001540 	0.326 	0.167 	0.279 	0.496 
001541 	0.327 	0.167 	0.279 	0.496 
001542 	0.327 	0.166 	0.278 	0.495 
001543 	0.328 	0.167 	0.278 	0.494 
001544 	0.328 	0.161 	0.278 	0.495 
001545 	0.328 	0.157 	0.279 	0.496 
001546 	0.327 	0.157 	0.279 	0.496 
001547 	0.327 	0.157 	0.280 	0.498 
001548 	0.327 	0.156 	0.280 	0.498 
001549 	0.327 	0.156 	0.280 	0.498 
001550 	0.327 	0.156 	0.280 	0.498 
001551 	0.327 	0.156 	0.279 	0.496 
001552 	0.327 	0.155 	0.280 	0.498 
001553 	0.326 	0.155 	0.280 	0.498 
001554 	0.325 	0.155 	0.281 	0.500 
001555 	0.323 	0.153 	0.284 	0.505 
001556 	0.323 	0.153 	0.284 	0.505 
001557 	0.323 	0.153 	0.284 	0.505 
001558 	0.323 	0.152 	0.284 	0.505 
001559 	0.325 	0.154 	0.281 	0.500 
001560 	0.325 	0.155 	0.280 	0.498 
